OrderId,CustomerId,OrderStatusId,PaymentStatusId,ShippingStatusId,OrderSubtotalInclTax,OrderSubTotalDiscountInclTax,OrderSubTotalDiscountExclTax,OrderTotal,RefundedAmount,OrderDiscount,CurrencyRate,CustomerCurrencyCode,OrderDateTime
2159,1994385,30,30,10,5,0,0,5,0,0,1,USD,2017-06-15 17:11:56
2158,1994385,30,30,10,5,0,0,5,0,0,1,USD,2017-06-15 16:55:04
2157,2573355,30,30,10,30.76,0,0,30.76,0,0,1,USD,2017-06-15 16:48:41
2156,1994385,30,30,10,15,0,0,15,0,0,1,USD,2017-06-15 15:37:11
2155,2224690,30,30,10,1750,0,0,1750,0,0,1,USD,2017-06-15 14:56:51
2154,258542,30,30,10,3.6,0,0,0,0,3.6,1,USD,2017-06-15 13:28:27
2153,2039434,30,30,10,27.69,0,0,27.69,0,0,1,USD,2017-06-15 10:29:54
2152,2840659,30,30,10,40,0,0,40,0,0,1,USD,2017-06-15 04:45:05
2151,2837526,30,30,10,461.54,0,0,461.54,0,0,1,USD,2017-06-15 04:22:57
2150,2780519,30,30,10,20,0,0,20,0,0,1,USD,2017-06-15 02:13:35
2149,2201976,30,30,10,3,0,0,3,0,0,1,USD,2017-06-15 00:59:08
2148,2605509,30,30,10,73.85,0,0,73.85,0,0,1,USD,2017-06-15 00:01:03
2147,2523960,30,30,10,60,0,0,60,0,0,1,USD,2017-06-14 23:28:16
2146,258542,30,30,10,7,0,0,0,0,7,1,USD,2017-06-14 20:26:00
2145,258542,30,30,10,20,0,0,0,0,20,1,USD,2017-06-14 19:42:08
2144,1994385,30,30,10,20,0,0,20,0,0,1,USD,2017-06-14 16:57:23
2143,2829194,20,35,10,16,0,0,16,9,0,1,USD,2017-06-14 15:10:35
2142,2036664,30,30,10,7,0,0,7,0,0,1,USD,2017-06-14 14:41:09
2141,2001484,30,30,10,1,0,0,1,0,0,1,USD,2017-06-14 03:17:20
2140,119683,30,30,10,288,0,0,0,0,288,1,USD,2017-06-13 22:29:07
2139,2825312,30,30,10,542.72,0,0,542.72,0,0,1,USD,2017-06-13 22:09:50
2138,2836112,30,30,10,313.5,0,0,313.5,0,0,1,USD,2017-06-13 21:26:29
2137,2835148,30,30,10,1750,0,0,1750,0,0,1,USD,2017-06-13 20:07:51
2136,406924,30,30,10,6,0,0,0,0,6,1,USD,2017-06-13 19:10:20
2135,2832783,30,30,10,2,0,0,2,0,0,1,USD,2017-06-13 16:36:00
2134,258542,30,30,10,40,0,0,0,0,40,1,USD,2017-06-13 16:13:12
2133,2835153,30,30,10,250,0,0,250,0,0,1,USD,2017-06-13 14:36:57
2132,258542,30,30,10,4,0,0,0,0,4,1,USD,2017-06-13 14:24:18
2131,2628776,30,30,10,250,0,0,250,0,0,1,USD,2017-06-13 14:05:56
2130,2834384,30,30,10,50,0,0,50,0,0,1,USD,2017-06-13 12:03:09
2129,2834384,30,30,10,162,0,0,162,0,0,1,USD,2017-06-13 09:39:52
2128,2833283,30,30,10,140,0,0,140,0,0,1,USD,2017-06-13 01:58:57
2127,2833283,40,40,10,60,0,0,60,60,0,1,USD,2017-06-13 01:56:59
2126,2833283,40,40,10,140,0,0,140,140,0,1,USD,2017-06-13 01:45:47
2125,1994385,30,30,10,5,0,0,5,0,0,1,USD,2017-06-12 18:08:27
2124,2832155,30,30,10,120,0,0,120,0,0,1,USD,2017-06-12 17:07:03
2123,406924,30,30,10,5.54,0,0,0,0,5.54,1,USD,2017-06-12 16:34:21
2122,2831998,30,30,10,9.23,0,0,9.23,0,0,1,USD,2017-06-12 16:23:35
2121,258542,30,30,10,4.62,0,0,0,0,4.62,1,USD,2017-06-12 16:20:03
2120,1424820,30,30,10,4.62,0,0,4.62,0,0,1,USD,2017-06-12 15:02:17
2119,2780519,30,30,10,4.5,0,0,4.5,0,0,1,USD,2017-06-11 21:40:12
2118,2826860,30,30,10,20,0,0,20,0,0,1,USD,2017-06-11 15:47:42
2117,2826385,30,30,10,43.33,0,0,43.33,0,0,1,USD,2017-06-11 04:35:22
2116,2826860,30,30,10,10,0,0,10,0,0,1,USD,2017-06-11 03:52:30
2115,2826860,30,30,10,10,0,0,10,0,0,1,USD,2017-06-11 01:56:36
2114,2826385,30,30,10,162,0,0,162,0,0,1,USD,2017-06-10 22:39:54
2113,2826000,30,30,10,1,0,0,1,0,0,1,USD,2017-06-10 19:51:14
2112,2186955,30,30,10,18,0,0,18,0,0,1,USD,2017-06-10 15:58:35
2111,2825312,40,40,10,750,0,0,750,750,0,1,USD,2017-06-10 15:16:24
2110,2798578,30,30,10,3,0,0,3,0,0,1,USD,2017-06-10 13:11:55
2109,2583334,30,30,10,2,0,0,2,0,0,1,USD,2017-06-10 04:54:42
2108,2749690,30,30,10,25,0,0,25,0,0,1,USD,2017-06-10 04:37:33
2107,1712908,30,30,10,30,0,0,30,0,0,1,USD,2017-06-09 21:12:08
2106,2694306,30,30,40,25000,0,0,25000,0,0,1,USD,2017-06-09 20:19:20
2105,1994385,30,30,10,5,0,0,5,0,0,1,USD,2017-06-09 17:48:14
2104,2605509,30,30,10,110.76,0,0,110.76,0,0,1,USD,2017-06-09 06:13:05
2103,2678031,30,30,10,5,0,0,5,0,0,1,USD,2017-06-09 02:31:33
2102,2678031,30,30,10,2,0,0,2,0,0,1,USD,2017-06-09 02:22:20
2101,2818502,30,30,10,520,0,0,520,0,0,1,USD,2017-06-08 17:38:12
2100,2702788,30,30,10,384.62,0,0,384.62,0,0,1,USD,2017-06-08 16:42:44
2099,1424820,30,30,10,75,0,0,75,0,0,1,USD,2017-06-08 16:07:57
2098,2176053,30,30,10,7.69,0,0,7.69,0,0,1,USD,2017-06-08 10:30:00
2097,866250,30,30,10,20,0,0,20,0,0,1,USD,2017-06-08 10:16:18
2096,2787024,30,30,10,960,0,0,960,0,0,1,USD,2017-06-08 05:37:41
2095,2816167,30,30,10,40,0,0,40,0,0,1,USD,2017-06-08 00:59:11
2094,2539912,30,30,10,3,0,0,3,0,0,1,USD,2017-06-08 00:55:21
2093,119683,30,30,10,3,0,0,0,0,3,1,USD,2017-06-07 19:00:20
2092,1751704,30,30,10,600,0,0,600,0,0,1,USD,2017-06-07 18:15:25
2091,119683,30,30,10,23.11,0,0,0,0,23.11,1,USD,2017-06-07 16:25:33
2090,2214020,30,30,10,5,0,0,5,0,0,1,USD,2017-06-07 14:55:58
2089,2787563,30,30,10,390,0,0,390,0,0,1,USD,2017-06-07 09:53:03
2088,633737,30,30,10,4.5,0,0,0,0,4.5,1,USD,2017-06-06 21:10:30
2087,1853416,30,30,10,273,0,0,273,0,0,1,USD,2017-06-06 20:59:12
2086,2810669,30,30,10,90,0,0,90,0,0,1,USD,2017-06-06 18:48:41
2085,2805871,30,30,10,39.99,0,0,39.99,0,0,1,USD,2017-06-06 17:40:51
2084,2702788,30,30,10,12.31,0,0,12.31,0,0,1,USD,2017-06-06 14:33:50
2083,2809735,30,30,10,40,0,0,40,0,0,1,USD,2017-06-06 13:00:03
2082,2236988,30,30,10,7,0,0,7,0,0,1,USD,2017-06-06 12:59:14
2081,412420,30,30,10,2340,0,0,2340,0,0,1,USD,2017-06-06 08:40:24
2080,2052087,30,30,10,7.69,0,0,7.69,0,0,1,USD,2017-06-05 19:01:25
2079,2805871,30,30,10,61.54,0,0,61.54,0,0,1,USD,2017-06-05 15:38:05
2078,2805901,30,30,10,1,0,0,1,0,0,1,USD,2017-06-05 14:41:08
2077,2505335,30,30,10,600,0,0,600,0,0,1,USD,2017-06-05 12:35:27
2076,2747042,30,30,10,516.6,0,0,516.6,0,0,1,USD,2017-06-05 10:55:25
2075,2720877,30,30,10,1384.62,0,0,1384.62,0,0,1,USD,2017-06-05 06:33:04
2074,2613935,30,30,10,40,0,0,40,0,0,1,USD,2017-06-04 17:29:51
2073,2720877,30,30,10,105,0,0,105,0,0,1,USD,2017-06-04 16:57:43
2072,2799108,30,30,10,3.6,0,0,3.6,0,0,1,USD,2017-06-04 12:20:39
2071,2797160,30,30,10,20,0,0,20,0,0,1,USD,2017-06-04 10:39:35
